"Country","Name","Race","Profession","Religion","Deity","Age","Date"
"Bednálljan","Alitle Nradesu","H","Princess","Unk","Unk","Unk","Unk"
"Bednálljan","Artúkko Alá'a","H","Priest","Change","Unk","Unk","Late"
"Bednálljan","Chaimaktel","H","Mistress","Change","Unk","Unk","Unk"
"Bednálljan","Charmúshsha","H","Soldier","Change","Unk","Unk","Nayari"
"Bednálljan","Chuyón ","H","Soldier","Change","Unk","Unk","Unk"
"Bednálljan","Dléshmel Vríddi","H","Soldier","Change","Vimúhla","Unk","Unk"
"Bednálljan","Dnakáimu Nakome","H","Soldier","Change","Unk","Unk","Unk"
"Bednálljan","Ha'akosún","H","Official","Change","Hrü'ú","Unk","Unk"
"Bednálljan","Kaa Drangash III","H","Ruler","Change","Unk","Unk","Unk"
"Bednálljan","Mnekshétra","H","Mistress","Change","Unk","Unk","Nayari"
"Bednálljan","Minháris of Purdánim","H","Librarian","Change","Unk","Unk","Unk"
"Bednálljan","Misuénde","H","Poet","Unk","Unk","Unk","Late"
"Bednálljan","Mettukeng the Sorcerer","H","Sorcerer","Change","Unk","Unk","Unk"
"Bednálljan","Nayári of the Silken Thighs","H","Ruler","Change","Unk","Unk","Start"
"Bednálljan","Nekkúma Dhalásh","H","Soldier","Change","Unk","Unk","End"
"Bednálljan-Éngs","Pavár of Gánga","H","Priest","C/S","Ksárul/Thúmis","Unk","End/Start"
"Bednálljan","Sa'alür of Jakálla","H","Military Writer","Change","Unk","Unk","Unk"
"Bednálljan","Serqu hiChaishyani","H","Soldier","Change","Unk","Unk","Unk"
"Bednálljan","Ssamirén of Khéiris","H","Scholar","Change","Unk","Unk","Unk"
"Bednálljan","Ssraminesh mra Kutaya","H","Assassin","Change","Unk","Unk","Early"
"Bednálljan","Tarishande XIII","H","Emperor","Stability","Unk","Unk","End"
"Bednálljan","Turshánmü","H","Scholar","Unk","Unk","Unk","Unk"
"Chayákku","Tsí Chá Vü","H","Soldier","Unk","Unk","Unk","2360 AS"
"Éngsvanyáli","Amukánatl Vríddi","H","Archon (Fasiltúm)","Change","Vimúhla","Unk","Flower"
"Éngsvanyáli","Archon of the Green","H","Archon (Sokátis)","Unk","Unk","Unk","Flower"
"Éngsvanyáli","Archon of Kaijá","H","Archon (Kaijá)","Unk","Unk","Unk","Flower"
"Éngsvanyáli","Archon of the Lavender","H","Archon (Yán Kór)","Unk","Unk","Unk","Flower"
"Éngsvanyáli","Archon of the Yellow","H","Archon (Khirgár)","Unk","UNk","Unk","Flower"
"Éngsvanyáli","Archon of the White","H","Archon (Gánga?)","Unk","UNk","Unk","Flower"
"Éngsvanyáli","Arkhúan Milénde","H","Unk","Unk","Unk","Unk","1st Ep"
"Éngsvanyáli","Aruchúè","H","Calligrapher","Unk","Unk","Unk","2nd Ep"
"Éngsvanyáli","Arudlákkha Mnál","H","Soldier","Unk","Unk","Unk","3rd Ep"
"Éngsvanyáli","Arumél","H","Official","Unk","Unk","Unk","1st Ep"
"Éngsvanyáli","Chanlánesh Váikash","H","Priest","Change","Hrü'ú","Unk","3rd Ep"
"Éngsvanyáli","Chárkhúvra the Interpreter","H","None","None","None",,"Not Real"
"Éngsvanyáli","Chóggu","H","Hero of the Age","Unk","Unk","Unk","2nd Ep"
"Éngsvanyáli","Chlúé Vindétha","H","Musician ","Unk","Unk","Unk","2nd Ep"
"Éngsvanyáli","Chorújja Ssánmirin","H","Priest","Change","Sárku","Unk","1st Ep"
"Éngsvanyáli","Chugrú'u hiSolmol","H","Official-Soldier","Change","Sárku","Unk","4th Ep"
"Éngsvanyáli","Chúvan Khalúmis","H","Scholar","Change","Vimúhla","Unk","2nd Ep"
"Éngsvanyáli","Darákka Manggél","H","Scholar","Stability","Avánthe?","Unk","3rd Ep"
"Éngsvanyáli","Dísib Murúshu","H","Priestess","Shadow","Kirrinéb","Unk","4th Ep"
"Éngsvanyáli","Dumán Langshá","H","Scholar","Unk","Unk","Unk","Unk"
"Éngsvanyáli","Erjúon","H","Hero of the Age","Unk","Unk","Unk","2nd Ep"
"Éngsvanyáli","Furtlánte Qolámu","H","Priest","Change","Grugánu","Unk","3rd Ep"
"Éngsvanyáli","Géleth Mriyudlákte","H","Poet","Unk","Unk","Unk","4th Ep"
"Éngsvanyáli","Ghiyál Tranúo","H","Priest","Stability","Hnálla","Unk","Bed-Éng"
"Éngsvanyáli","Giríktéshmu hiChurén","H","Prince","Unk","Unk","Unk","1st Ep"
"Éngsvanyáli","Hagháktish Lélo","H","Rebel Soldier","Unk","Unk","Unk","4th Ep"
"Éngsvanyáli","Ha'úlo Kirisáyu","H","Executioner","Unk","Unk","Unk","Bed-Éng"
"Éngsvanyáli","Harmúish Dlekkúra","H","Hero of the Age","Unk","Unk","Unk","4th Ep"
"Éngsvanyáli","Homunéndu","H","Ruler (Pecháno)","Unk","Unk","Unk","2nd Ep"
"Éngsvanyáli","Hirkkulméshru the Dwarf","H","Famed Military Writer","Unk","Unk","Unk","2nd Ep"
"Éngsvanyáli","Píti Bhárnüme","H","Priest","Change","Unk","Unk","Unk"
"Éngsvanyáli","Jaruén","H","Scholar","Unk","Unk","Unk","1st Ep"
"Éngsvanyáli","Jnathár Véra","H","Scholar","Unk","Unk","Unk","2nd Ep"
"Éngsvanyáli","Kaijumá Vürüdhamé","H","Hero of the Age","Unk","Unk","Unk","2nd Ep"
"Éngsvanyáli","Khorkhónu","H","Hero of the Age","Unk","Unk","Unk","2nd Ep"
"Éngsvanyáli","Khouoláz","H","Soldier","Unk","Unk","Unk","2nd Ep"
"Éngsvanyáli","Kokún Vriyón","H","Hero of the Age","Unk","Unk","Unk","4th Ep"
"Éngsvanyáli","Kriyor","H","Ruler (Yán Kór)","Unk","Unk","Unk","1st Ep"
"Éngsvanyáli","Liyuráin","H","Soldier","Unk","Unk","Unk","2nd Ep"
"Éngsvanyáli","Lassutl hiCha'unqel","H","Chamberlain","Unk","Unk","Unk","15th Dy"
